productline,productName,value,value_rank
Classic Cars,1952 Alpine Renault 1300,۸۴۵۳۳۴.۶۰,۱
Classic Cars,1992 Ferrari 360 Spider red,۷۶۳۲۴۹.۶۸,۲
Classic Cars,1948 Porsche Type 356 Roadster,۷۱۱۲۸۸.۸۰,۳
Classic Cars,1976 Ford Gran Torino,۶۷۰۸۳۴.۵۰,۴
Classic Cars,1999 Indy 500 Monte Carlo SS,۶۱۴۲۵۹.۳۶,۵
Classic Cars,1965 Aston Martin DB5,۵۲۸۷۷۶.۱۶,۶
Classic Cars,1995 Honda Civic,۴۷۲۵۷۳.۹۲,۷
Classic Cars,1969 Corvair Monza,۴۲۷۷۵۷.۶۴,۸
Classic Cars,2002 Chevy Corvette,۴۲۴۷۸۶.۶۲,۹
Classic Cars,1969 Dodge Charger,۴۱۳۲۳۶.۸۹,۱۰
Classic Cars,2001 Ferrari Enzo,۴۰۶۰۸۷.۹۹,۱۱
Classic Cars,1985 Toyota Supra,۳۹۰۹۸۰.۴۸,۱۲
Classic Cars,1968 Dodge Charger,۳۸۵۷۲۰.۴۴,۱۳
Classic Cars,1961 Chevrolet Impala,۳۸۱۷۲۵.۱۹,۱۴
Classic Cars,1982 Camaro Z28,۳۷۸۷۳۵.۰۸,۱۵
Classic Cars,1992 Porsche Cayenne Turbo Silver,۳۱۹۲۲۷.۰۰,۱۶
Classic Cars,1962 LanciaA Delta 16V,۳۰۰۹۷۷.۱۲,۱۷
Classic Cars,1998 Chrysler Plymouth Prowler,۲۹۳۹۲۷.۲۸,۱۸
Classic Cars,1970 Triumph Spitfire,۲۸۶۶۷۶.۵۰,۱۹
Classic Cars,1956 Porsche 356A Coupe,۲۷۸۰۵۸.۰۰,۲۰
Classic Cars,1970 Plymouth Hemi Cuda,۲۷۱۱۴۴.۴۴,۲۱
Classic Cars,1993 Mazda RX-7,۲۳۰۶۶۹.۲۵,۲۲
Classic Cars,1948 Porsche 356-A Roadster,۲۰۳۸۸۰.۶۰,۲۳
Classic Cars,1971 Alpine Renault 1600s,۱۸۱۰۸۶.۷۵,۲۴
Classic Cars,1966 Shelby Cobra 427 S/C,۱۷۳۲۰۲.۶۱,۲۵
Classic Cars,1982 Lamborghini Diablo,۱۶۶۱۹۸.۹۶,۲۶
Classic Cars,1969 Chevrolet Camaro Z28,۱۶۴۷۹۴.۵۰,۲۷
Classic Cars,1972 Alfa Romeo GTA,۱۶۳۶۴۰.۶۴,۲۸
Classic Cars,1957 Ford Thunderbird,۱۱۸۹۲۵.۵۴,۲۹
Classic Cars,1970 Dodge Coronet,۱۰۳۶۰۱.۸۲,۳۰
Classic Cars,1949 Jaguar XK 120,۱۰۲۵۰۷.۰۰,۳۱
Classic Cars,1957 Corvette Convertible,۹۸۵۰۸.۶۳,۳۲
Classic Cars,1969 Ford Falcon,۹۴۳۷۸.۵۳,۳۳
Classic Cars,1952 Citroen-15CV,۶۴۷۸۸.۲۴,۳۴
Classic Cars,1969 Dodge Super Bee,۶۰۱۱۷.۱۲,۳۵
Classic Cars,1958 Chevy Corvette Limited Edition,۴۹۴۴۱.۹۰,۳۶
Classic Cars,1970 Chevy Chevelle SS 454,۲۴۳۷۱.۲۵,۳۷
Classic Cars,1968 Ford Mustang,۶۷۴۷.۶۴,۳۸
Motorcycles,2002 Suzuki XREO,۸۴۳۲۴۶.۹۵,۱
