,title,year,country,date
324126,"Synecdoche, New York",2008,USA,2008-11-21
66463,Close Encounters of the Third Kind,1977,Greece,1978-03-10
51496,Brotherly Love,1928,Finland,1929-11-18
236362,"My Son, My Son!",1940,Mexico,1940-05-23
374347,The North Avenue Irregulars,1979,USA,1979-02-09
377373,The Phynx,1970,USA,1970-05-06
280556,Richard III,1912,USA,1912-10-15
402546,To Live and Die in L.A.,1985,Spain,1986-05-14
350837,The Fog,2005,USA,2005-10-14
145812,Home (II),2015,Latvia,2015-03-20
397805,Then She Found Me,2007,UK,2008-09-19
118348,Fracture,2007,Hungary,2007-08-16
352314,The Gay Deceiver,1926,USA,1926-09-19
45294,Blood for Dracula,1974,Italy,1975-08-14
252773,Orfeu Negro,1959,Finland,1960-10-14
423371,Wanderkrebs,1984,Denmark,1986-03-17
406747,Trapped,2002,South Korea,2002-11-29
14873,Agguato a Tangeri,1957,Spain,1958-01-02
358916,The Hundred-Foot Journey,2014,Cyprus,2014-10-17
188063,La hija del Puma,1994,Sweden,1994-09-30
124376,Geminis,2013,Spain,2013-09-20
383789,The Scarlet Runner,1916,USA,1916-10-02
378948,The Princess and the Frog,2009,Egypt,2009-12-30
332383,The Airmail Mystery,1932,USA,1932-03-28
99110,Ein Herz spielt falsch,1953,Mexico,1960-04-02
295886,Selvmordsskolen,1964,Netherlands,1965-08-05
397989,There's Only One Jimmy Grimble,2000,Belgium,2002-12-18
82923,Deo pa-i-beu,2013,South Korea,2013-11-14
364446,The Last Stand,2013,Peru,2013-01-31
418195,Vanina oder Die Galgenhochzeit,1922,Denmark,1922-12-14
141369,Henry Poole Is Here,2008,Lebanon,2008-10-09
407693,Tristan + Isolde,2006,Ukraine,2006-02-09
280539,Rich and Famous,1981,Portugal,1982-05-21
202078,Les yeux noirs,1935,Germany,1936-04-23
351033,The Forest,2016,Netherlands,2016-03-17
109893,Fanatisme,1934,Finland,1939-08-06
253003,Orphan,2009,Mexico,2009-09-04
433755,X: First Class,2011,India,2011-06-10
256954,ParaNorman,2012,Argentina,2012-10-25
142778,Hickey & Boggs,1972,Norway,1973-05-21
337516,The Book of Revelation,2006,Australia,2006-09-07
289825,Sams in Gefahr,2003,Austria,2003-12-12
189602,La pianiste,2001,Argentina,2001-09-20
332398,The Alamo,1960,Denmark,1961-10-30
6643,A Dog of Flanders,1999,Australia,2008-09-03
437124,You Only Live Twice,1967,Brazil,1967-10-02
14928,Agnes Browne,1999,Israel,2000-06-01
347578,The Elephant Man,1980,USA,1980-10-10
245638,Nothing Personal,1980,Sweden,1981-04-21
65974,Classmates,1924,Japan,1925-11-20
59596,Centurion,2010,Brazil,2010-11-26
108693,Ezhu Sundara Rathrikal,2013,India,2013-12-20
346292,The Dictator,2012,Uruguay,2012-07-20
208986,Louder Than Bombs,2015,Portugal,2016-05-12
133094,Gui lai,2014,Italy,2015-03-26
419133,Verdens Undergang,1916,Denmark,1916-04-01
431066,Wise Blood,1979,USA,1980-02-17
104221,Enigma,2001,Greece,2002-02-08
354194,The Goodbye Girl,1977,Australia,1978-02-01
184965,L'ombre du doute,1993,UK,1994-08-26
78771,Dava,2001,Turkey,2001-12-14
241731,Night Raiders,1952,USA,1952-02-03
209536,Love Is Strange,2014,Japan,2016-03-12
318520,Straight Outta Compton,2015,Norway,2015-08-21
158839,In Time,2011,Indonesia,2011-11-04
401036,Tian zhu ding,2013,Greece,2014-03-13
401974,Tinieblas,1957,Mexico,1957-05-02
