date,str_date,Open,Symbol,Name,Close,Last Trade,Quantity,Volume,Value,Min,Max,Yesterday Price,Change
2020-04-18,2020-04-18,3900.0,ونيروح,ح . سرمايه‌گذاري‌نيرو,3731.0,3680.0,9132,47838545,178505625416.0,3630.0,3900.0,804.0,2927.0
2020-04-18,2020-04-18,31942.0,خرينگ,رينگ‌سازي‌مشهد,33509.0,33539.0,2016,4988569,167159771231.0,31942.0,33539.0,30421.0,3088.0
2020-04-18,2020-04-18,6592.0,ثشاهد,سرمايه‌ گذاري‌ شاهد,6903.0,6921.0,858,9714861,67066450833.0,6592.0,6921.0,6279.0,624.0
2020-04-18,2020-04-18,6902.0,واعتبار,سرمايه گذاري اعتبار ايران,7208.0,7100.0,2661,18862053,135953054756.0,6902.0,7247.0,6574.0,634.0
2020-04-18,2020-04-18,20819.0,دالبرح,ح . البرزدارو,21692.0,21810.0,1169,3102060,67288500967.0,20803.0,21810.0,19828.0,1864.0
2020-04-18,2020-04-18,7451.0,كچادح,ح . معدني‌وصنعتي‌چادرملو,7908.0,7986.0,1643,18161122,143609096484.0,7450.0,7986.0,7260.0,648.0
2020-04-18,2020-04-18,25631.0,فلوله,لوله‌وماشين‌سازي‌ايران‌,26565.0,26912.0,2397,7354465,195374838042.0,25631.0,26912.0,24411.0,2154.0
2020-04-18,2020-04-18,19900.0,رمپنا,گروه مپنا (سهامي عام),21066.0,21300.0,3464,41340164,870886456433.0,19900.0,21599.0,19592.0,1474.0
2020-04-18,2020-04-18,4624.0,داناح,ح . بيمه دانا,4869.0,5020.0,6770,122445310,596141206764.0,4550.0,5020.0,4564.0,305.0
2020-04-18,2020-04-18,20700.0,شنفتح,ح . نفت‌ پارس‌,21839.0,21870.0,391,1130182,24681874737.0,20700.0,22190.0,20577.0,1262.0
2020-04-18,2020-04-18,34800.0,پاكشوح,ح . گروه صنعتي پاكشو,35319.0,35870.0,1971,3500255,123624258300.0,33999.0,36112.0,33295.0,2024.0
2020-04-18,2020-04-18,24797.0,ساروم,سيمان‌اروميه‌,24963.0,24730.0,10122,16189284,404138856265.0,24000.0,26036.0,23617.0,1346.0
2020-04-18,2020-04-18,4893.0,خزاميا,زامياد,4893.0,4893.0,2007,22474138,109961769151.0,4876.0,4893.0,4660.0,233.0
2020-04-18,2020-04-18,8316.0,واتي,سرمايه‌ گذاري‌ آتيه‌ دماوند,8316.0,8316.0,1175,13383174,111294474984.0,8316.0,8316.0,7920.0,396.0
2020-04-18,2020-04-18,11403.0,سمازن,سيمان‌مازندران‌,11403.0,11403.0,521,4612085,52591605255.0,11403.0,11403.0,10860.0,543.0
2020-04-18,2020-04-18,13587.0,كحافظ,كاشي‌ وسراميك‌ حافظ‌,13587.0,13587.0,1433,4118538,55958575806.0,13587.0,13587.0,12940.0,647.0
2020-04-18,2020-04-18,8295.0,كاوه,فولاد كاوه جنوب كيش,8295.0,8295.0,773,22019715,182653535925.0,8295.0,8295.0,7900.0,395.0
2020-04-18,2020-04-18,110842.0,چكارن,كارتن‌ ايران‌,110842.0,110842.0,4165,3981332,441298801544.0,110842.0,110842.0,105564.0,5278.0
2020-04-18,2020-04-18,27448.0,سيمرغ,سيمرغ,27448.0,27448.0,1543,2891942,79377594434.0,27444.0,27448.0,26141.0,1307.0
2020-04-18,2020-04-18,27364.0,فخاس,فولاد خراسان,27364.0,27364.0,1210,11208770,306716775084.0,27361.0,27364.0,26061.0,1303.0
2020-04-18,2020-04-18,104774.0,قصفها,قنداصفهان‌,104774.0,104774.0,388,505894,53004537956.0,104774.0,104774.0,99785.0,4989.0
